statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2023;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;0,4;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2023;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;7,2;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2023;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;116,6;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2009;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;-0,5;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2009;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;-0,3;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2009;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;87,1;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2002;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;-0,4;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2002;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;1,2;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2002;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;77,8;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2000;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;0,8;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2000;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;2,0;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2000;MONAT;Monate;MONAT12;Dezember;DINSG;Deutschland insgesamt;DG;Deutschland;76,4;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2001;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;0,4;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2001;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;2,4;%;PREIS1;in;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2001;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;76,9;2020=100;PREIS1;Verbraucherpreisindex;e
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2020;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;-;%;PREIS1;in;
61111;Verbraucherpreisindex für Deutschland;JAHR;Jahr;2020;MONAT;Monate;MONAT09;September;DINSG;Deutschland insgesamt;DG;Deutschland;-0,5;%;PREIS1;in;e
